#	Components for ITMC.MI
#	http://finance.yahoo.com/q/cp?s=ITMC.MI&c=1
#
#Symbol	Name	Last Trade	Change	Volume
ACE.MI	ACEA S.p.A.	11.77 11:25AM EDT	Down 0.45 (3.68%)	268,896
AMP.MI	Amplifon SpA	6.86 11:24AM EDT	Down 0.22 (3.11%)	1,012,629
ANIM.MI	Anima Holding S.p.A	8.00 11:37AM EDT	Down 0.75 (8.57%)	1,521,691
ASC.MI	Ascopiave S.p.A.	1.9970 11:25AM EDT	Down 0.0630 (3.06%)	437,723
AST.MI	Astaldi SpA	8.66 11:25AM EDT	Down 0.52 (5.66%)	586,793
AT.MI	ASTM S.p.A.	11.08 11:25AM EDT	Down 0.56 (4.81%)	118,743
BC.MI	BRUNELLO CUCINELLI S.p.A.	15.80 11:35AM EDT	Down 0.70 (4.24%)	150,042
BGN.MI	Banca Generali S.p.A.	25.48 11:25AM EDT	Down 1.81 (6.63%)	331,369
BIM.MI	Banca Intermobiliare di Investimenti e Gestioni SpA	3.1220 11:25AM EDT	Down 0.04 (1.27%)	26,671
BNS.MI	Beni Stabili SpA	0.68 11:25AM EDT	Down 0.03 (4.56%)	7,381,767
BPSO.MI	Banca Popolare di Sondrio S.C.p.A.	4.1740 11:25AM EDT	Down 0.1820 (4.18%)	1,071,217
BRE.MI	Brembo SpA	34.96 11:25AM EDT	Down 1.30 (3.59%)	283,609
CAI.MI	Cairo Communication SpA	4.12 11:38AM EDT	Down 0.14 (3.20%)	187,852
CASS.MI	Società Cattolica di Assicurazione - Società Cooperativa	6.1250 11:34AM EDT	Down 0.3450 (5.33%)	1,349,400
CE.MI	Credito Emiliano S.p.A.	6.8150 11:25AM EDT	Down 0.2150 (3.06%)	237,671
CEM.MI	Cementir Holding SpA	5.37 11:25AM EDT	Down 0.26 (4.53%)	235,552
CERV.MI	Cerved Information Solutions S.p.A.	6.5050 11:25AM EDT	Down 0.3650 (5.31%)	247,234
CIR.MI	Compagnie Industriali Riunite S.p.A.	0.81 11:25AM EDT	Down 0.01 (1.40%)	2,281,214
CRG.MI	Banca Carige S.p.A.	1.5530 11:39AM EDT	Down 0.08 (4.90%)	10,167,999
CVAL.MI	Credito Valtellinese Societa Cooperativa	1.1460 11:34AM EDT	Down 0.0590 (4.90%)	7,822,380
DAL.MI	Datalogic SpA	12.91 11:25AM EDT	Down 0.39 (2.93%)	71,152
DAN.MI	Danieli & C. Officine Meccaniche S.p.A.	17.39 11:25AM EDT	Down 0.31 (1.75%)	96,127
DEA.MI	DeA Capital S.p.A.	1.2650 11:25AM EDT	Down 0.0750 (5.60%)	409,681
DIA.MI	DiaSorin S.p.A.	40.02 11:25AM EDT	Down 1.95 (4.65%)	85,903
DLG.MI	De' Longhi S.p.A.	21.32 11:25AM EDT	Down 1.10 (4.91%)	180,885
EIT.MI	EI TOWERS	54.45 11:25AM EDT	Down 1.20 (2.16%)	30,660
ENG.MI	Engineering Ingegneria Informatica S.p.A.	51.20 11:25AM EDT	Down 1.80 (3.40%)	27,471
ERG.MI	ERG SpA	12.02 11:25AM EDT	Down 0.45 (3.61%)	593,303
ES.MI	Gruppo Editoriale L' Espresso SpA	0.9140 11:36AM EDT	Down 0.0310 (3.28%)	959,101
FBK.MI	FinecoBank S.p.A.	6.5250 11:25AM EDT	Down 0.5050 (7.18%)	4,321,901
FCT.MI	Fincantieri S.p.A.	0.66 11:25AM EDT	Down 0.03 (4.35%)	1,526,626
GEO.MI	Geox SpA	3.16 11:25AM EDT	Down 0.09 (2.77%)	660,163
HER.MI	Hera S.p.A.	2.15 11:25AM EDT	Down 0.06 (2.71%)	1,979,169
IF.MI	Banca IFIS SpA	19.51 11:34AM EDT	Down 1.38 (6.61%)	97,216
IGD.MI	Immobiliare Grande Distribuzione Società di Investimento Immobiliare Quotata S.p.A. 	0.7865 11:25AM EDT	Down 0.0560 (6.65%)	1,328,938
IMA.MI	I.M.A. Industria Macchine Automatiche S.p.A.	38.78 11:25AM EDT	Down 0.84 (2.12%)	104,298
IP.MI	Interpump Group SpA	11.71 11:25AM EDT	Down 0.12 (1.01%)	591,585
IRE.MI	Iren SpA	1.29 11:25AM EDT	Down 0.06 (4.52%)	3,369,729
IT.MI	Italcementi SpA	9.90 11:34AM EDT	Down 0.04 (0.35%)	3,857,087
ITM.MI	Italmobiliare SpA	36.81 11:25AM EDT	Down 1.41 (3.69%)	26,873
MARR.MI	MARR SpA	16.00 11:25AM EDT	Down 0.80 (4.76%)	118,564
MT.MI	Maire Tecnimont S.p.A.	2.5660 11:25AM EDT	Down 0.1360 (5.03%)	2,645,800
OVS.MI	OVS S.p.A.	5.45 11:25AM EDT	Up 0.19(3.61%)	799,924
PIA.MI	Piaggio & C. SpA	2.50 11:34AM EDT	Down 0.04 (1.57%)	1,628,674
PLT.MI	Parmalat SpA	2.27 11:25AM EDT	Up 0.03(1.25%)	2,189,199
RCS.MI	RCS MediaGroup S.p.A.	0.9895 11:34AM EDT	Down 0.0185 (1.84%)	1,906,486
REC.MI	Recordati SpA	20.12 11:25AM EDT	Down 0.93 (4.42%)	680,785
REY.MI	Reply S.p.A.	90.50 11:25AM EDT	Down 4.50 (4.74%)	39,630
RWAY.MI	Rai Way S.p.A.	4.65 11:25AM EDT	Down 0.22 (4.52%)	460,610
SAL.MI	SALINI IMPREGILO	3.5860 11:25AM EDT	Down 0.1540 (4.12%)	2,965,794
SFL.MI	Safilo Group S.p.A.	10.10 11:25AM EDT	Down 0.24 (2.32%)	580,465
SIS.MI	Società Iniziative Autostradali e Servizi SpA	9.75 11:25AM EDT	Down 0.55 (5.34%)	210,488
SOL.MI	Sol SpA	7.10 11:25AM EDT	Down 0.15 (2.07%)	9,184
SRN.MI	Sorin SpA	2.70 11:25AM EDT	Down 0.08 (2.88%)	2,021,311
SRS.MI	Saras S.p.A.	2.11 11:34AM EDT	Down 0.09 (4.01%)	11,389,057
TFI.MI	TREVI - Finanziaria Industriale S.p.A.	1.20 11:25AM EDT	Down 0.05 (4.24%)	2,457,112
TIP.MI	Tamburi Investment Partners S.p.A.	3.28 11:25AM EDT	Down 0.11 (3.13%)	410,496
UNI.MI	Unipol Gruppo Finanziario S.p.A.	4.09 11:34AM EDT	Down 0.15 (3.53%)	2,957,165
VAS.MI	Vittoria Assicurazioni SpA	9.42 11:25AM EDT	Down 0.38 (3.88%)	16,462
ZV.MI	Zignago Vetro S.p.A.	5.20 11:25AM EDT	Down 0.15 (2.80%)	60,969
